,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Say,0,NE,1583783339,4,13.1,2.37,309.15,2.6
1,Hasaki,75,JP,1583783339,100,35.73,140.83,285.37,3.6
2,Hobart,75,AU,1583783267,87,-42.88,147.33,282.15,1.0
3,Kapaa,90,US,1583783339,73,22.08,-159.32,296.15,6.2
4,Ushuaia,75,AR,1583783339,66,-54.8,-68.3,284.15,5.1
5,Albany,75,US,1583783215,15,42.6,-73.97,296.15,5.1
6,Moose Factory,100,CA,1583783121,80,51.26,-80.61,260.63,7.77
7,Palmer,20,US,1583783340,12,42.16,-72.33,296.15,8.2
8,Jamestown,40,US,1583783192,31,42.1,-79.24,290.37,6.2
9,Lebu,0,CL,1583782872,46,-37.62,-73.65,293.23,3.85
10,Longyearbyen,20,SJ,1583783099,52,78.22,15.64,251.15,3.1
11,Guerrero Negro,85,MX,1583783341,25,27.98,-114.06,298.67,2.21
12,Yangi Marg`ilon,90,UZ,1583783341,65,40.43,71.72,280.15,1.0
13,Cayenne,48,GF,1583783341,62,4.93,-52.33,303.15,6.2
14,Rikitea,34,PF,1583783341,80,-23.12,-134.97,299.36,4.64
15,Puerto Ayora,75,EC,1583783341,74,-0.74,-90.35,302.15,3.1
16,Khovd,48,MN,1583783341,50,48.01,91.64,265.14,2.03
17,Bluff,100,NZ,1583783342,97,-46.6,168.33,284.26,5.36
18,Kaitangata,100,NZ,1583783342,93,-46.28,169.85,287.04,2.24
19,Ixtapa,75,MX,1583783342,65,20.7,-105.2,300.37,3.6
20,Santarém,40,BR,1583783068,88,-2.44,-54.71,300.15,3.1
21,Tabas,0,IR,1583783342,19,33.6,56.92,282.15,2.1
22,Busselton,17,AU,1583783342,42,-33.65,115.33,291.48,4.44
23,Vaini,75,TO,1583783343,83,-21.2,-175.2,299.15,1.5
24,Mataura,100,NZ,1583783343,97,-46.19,168.86,284.26,5.36
25,Waliso,84,ET,1583783343,57,8.53,37.98,292.47,3.11
26,Havre-St-Pierre,0,CA,1583783343,58,50.23,-63.6,262.98,8.66
27,Ponta do Sol,20,PT,1583783343,63,32.67,-17.1,291.15,7.7
28,Severo-Kuril'sk,92,RU,1583783344,94,50.68,156.12,270.71,6.81
29,Vao,46,NC,1583783344,74,-22.67,167.48,299.51,6.21
30,Nikolskoye,23,RU,1583783344,74,59.7,30.79,275.15,2.0
31,Provideniya,90,RU,1583783344,77,64.38,-173.3,257.15,2.0
32,Laguna,1,US,1583783264,51,38.42,-121.42,291.48,2.6
